image	concepts
8.jpg	house:0.995592057705,home:0.995203971863,garage:0.985318422318,architecture:0.98508399725,yard:0.98355203867,building:0.98240673542,driveway:0.981198549271,lawn:0.979874670506,suburban:0.973709404469,family:0.967568516731,property:0.963126122952,estate:0.960125207901,roof:0.958562016487,entrance:0.955631434917,mortgage:0.940725147724,suburb:0.935730099678,window:0.9353916049,realty:0.933857560158,garden:0.922623574734,class:0.922248482704
9.jpg	house:0.997910320759,home:0.996998667717,family:0.994035959244,driveway:0.992986023426,suburban:0.992954790592,garage:0.992295384407,yard:0.990575194359,suburb:0.987104415894,residential:0.984515309334,architecture:0.982777237892,mortgage:0.982031702995,realty:0.979359388351,property:0.977600157261,window:0.975903749466,real:0.974804401398,roof:0.973061680794,door:0.972906410694,upscale:0.971312105656,estate:0.968957602978,residence:0.964075922966
12.jpg	house:0.996071577072,home:0.983733892441,building:0.977939546108,architecture:0.976849734783,family:0.975832104683,garden:0.970668256283,roof:0.964211344719,bungalow:0.962767004967,property:0.950290024281,yard:0.944335401058,exterior:0.938361883163,tree:0.937903523445,no person:0.929700613022,residence:0.924051821232,estate:0.911927223206,outdoors:0.911080598831,summer:0.905560195446,residential:0.903680145741,villa:0.902716457844,nature:0.896176934242
11.jpg	house:0.997570693493,home:0.994731426239,family:0.992072045803,garage:0.980221569538,architecture:0.97931677103,door:0.97501283884,yard:0.966448426247,window:0.965186774731,lawn:0.962804317474,building:0.962015986443,suburb:0.954906821251,driveway:0.949375391006,estate:0.938818395138,suburban:0.937091708183,residential:0.935396134853,property:0.933711946011,no person:0.933677852154,grass:0.926818490028,mortgage:0.925333082676,roof:0.921054780483
10.jpg	home:0.998289763927,house:0.995942652225,family:0.988575637341,architecture:0.987684845924,driveway:0.987673819065,suburban:0.98653459549,realty:0.980697274208,no person:0.980340301991,suburb:0.97768843174,property:0.974938988686,mortgage:0.972495138645,real:0.967072486877,yard:0.962550699711,estate:0.96210283041,garage:0.961157858372,building:0.959137499332,upscale:0.954460799694,roof:0.95206874609,residential:0.948757469654,lawn:0.947117984295
4.jpg	house:0.99701166153,home:0.994000554085,family:0.988332331181,architecture:0.977791130543,building:0.966843962669,roof:0.960458576679,no person:0.95638936758,window:0.952431917191,yard:0.95057964325,door:0.94825553894,garage:0.945127308369,construction:0.927877187729,wood:0.927606463432,suburb:0.924872338772,bungalow:0.913241267204,property:0.902403652668,suburban:0.88760972023,realty:0.878117918968,expression:0.871846318245,entrance:0.868285059929
5.jpg	house:0.989006876945,tree:0.977319836617,home:0.975543618202,architecture:0.969768285751,family:0.963571548462,lawn:0.950777590275,property:0.943492174149,building:0.943109273911,wood:0.940854847431,driveway:0.932760000229,garden:0.932301342487,estate:0.931108534336,no person:0.928907930851,yard:0.924490749836,real:0.922880411148,roof:0.905721247196,suburban:0.902323365211,window:0.889516711235,class:0.885881245136,realty:0.880110502243
7.jpg	house:0.996553778648,home:0.996318221092,yard:0.993469953537,lawn:0.989515066147,realty:0.98778116703,family:0.98725861311,mortgage:0.984980821609,suburban:0.984092950821,property:0.983432710171,driveway:0.980801522732,estate:0.976576864719,garage:0.976526618004,rate:0.97251611948,architecture:0.9709020257,suburb:0.969734311104,residential:0.966351032257,building:0.965750694275,window:0.960806012154,upscale:0.960752725601,entrance:0.959427118301
6.jpg	garage:0.991649150848,home:0.991025626659,house:0.990730464458,architecture:0.981117188931,driveway:0.981064677238,family:0.974493682384,lawn:0.971068799496,yard:0.96893209219,roof:0.968362867832,building:0.968301057816,suburban:0.967709839344,property:0.960372507572,luxury:0.959047615528,realty:0.957892775536,suburb:0.956826090813,estate:0.950721561909,real:0.939670979977,mortgage:0.939639270306,brick:0.922846198082,door:0.914778828621
2.jpg	house:0.994263231754,family:0.977622509003,home:0.972052752972,architecture:0.969526290894,building:0.966831684113,lawn:0.962919831276,suburban:0.95787101984,suburb:0.955862820148,door:0.953413724899,no person:0.952769637108,yard:0.952094972134,garage:0.946920514107,construction:0.9445271492,property:0.943106293678,exterior:0.93048375845,estate:0.919849276543,entrance:0.918971002102,front:0.912518441677,roof:0.908718943596,wood:0.907892405987
3.jpg	home:0.996325075626,house:0.99619603157,family:0.986368119717,architecture:0.981108248234,wood:0.969159305096,garage:0.968167722225,property:0.9669277668,window:0.962886989117,building:0.962338447571,door:0.960308492184,yard:0.959858119488,no person:0.95967155695,lawn:0.954865813255,estate:0.954703688622,suburb:0.952233314514,suburban:0.949319839478,roof:0.93748652935,exterior:0.936422526836,porch:0.935613036156,residential:0.934238493443
1.jpg	wood:0.986230194569,house:0.973620355129,tree:0.973541617393,yard:0.970803022385,garden:0.966912031174,family:0.961997568607,no person:0.945746541023,architecture:0.935940682888,wooden:0.935285687447,leaf:0.932939946651,park:0.930182099342,nature:0.927828431129,property:0.915826678276,door:0.909700870514,entrance:0.907642900944,building:0.906267523766,outdoors:0.8962880373,guidance:0.895375490189,summer:0.894849181175,exterior:0.870103240013
